Cod. Disciplina,Nome Disciplina,Curso,CH,Horarios
FACOM49010(V),Algoritmos e Programação de Computadores,Engenharia Mecatrônica,4,"Segunda-feira 13h:10, Segunda-feira 14h:00, Sexta-feira 09h:50, Sexta-feira 10h:40, Sexta-feira 11h:30"
FACOM49010(W),Algoritmos e Programação de Computadores,Engenharia Aeronáutica,4,"Quarta-feira 14h:50, Quarta-feira 16h:00, Sexta-feira 09h:50, Sexta-feira 10h:40, Sexta-feira 11h:30"
FACOM49050,Arquitetura e Organização de Computadores I,Engenharia Mecatrônica,4,"Segunda-feira 08h:50, Segunda-feira 09h:50, Terça-feira 08h:50, Terça-feira 09h:50"
FACOM49060,Sistemas Operacionais,Engenharia Mecatrônica,4,"Terça-feira 16h:50, Terça-feira 17h:40, Quinta-feira 07h:10, Quinta-feira 08h:00"
FACOM49070,Arquitetura de Redes de Computadores,Engenharia Mecatrônica,4,"Terça-feira 07h:10, Terça-feira 08h:00, Sexta-feira 07h:10, Sexta-feira 08h:00"
FACOM49080,Bancos de Dados,Engenharia Mecatrônica,4,"Segunda-feira 10h:40, Segunda-feira 11h:30, Terça-feira 13h:10, Terça-feira 14h:00"
GAG009,Informática Básica,Agronomia,4,"Segunda-feira 14h:00, Segunda-feira 14h:50, Sexta-feira 08h:50, Sexta-feira 09h:50"
GBC014,Programação Procedimental,Ciência da Computação,6,"Segunda-feira 08h:50, Segunda-feira 09h:50, Terça-feira 08h:50, Terça-feira 09h:50, Sexta-feira 08h:50, Sexta-feira 09h:50"
GBC015,Introdução à Ciência da Computação,Ciência da Computação,2,"Terça-feira 10h:40, Terça-feira 11h:30"
GBC016,Lógica para Computação,Ciência da Computação,4,"Quarta-feira 08h:50, Quarta-feira 09h:50, Quinta-feira 08h:50, Quinta-feira 09h:50"
GBC021,Profissão em Computação e Informática,Ciência da Computação,2,"Quinta-feira 16h:50, Quinta-feira 17h:40"
